name,synonyms,category,status_general,risk_level,risk_notes,allergen_flags,diet_tags,environmental_notes,evidence_grade,jurisdiction_status,typical_use,source_citations,last_reviewed,avoid_if
Olive oil,extra virgin olive oil|evoo,oil,Approved,Low,Generally favorable lipid profile,,vegan|vegetarian|keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,"Cooking, dressings",,2025-08-20,None
Canola oil,rapeseed oil (low erucic acid),oil,Approved,Low,Refined; neutral flavor,,vegan|vegetarian|keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,Cooking,,2025-08-20,None
Soybean oil,,oil,Approved,Allergen,Trace soy proteins possible,soy,vegan|vegetarian|keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,Cooking,,2025-08-20,Soy allergy
Sunflower oil,,oil,Approved,Low,High PUFA,,vegan|vegetarian|keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,Cooking,,2025-08-20,None
Palm oil,palm kernel oil,oil,Approved,Medium,High saturated fat; sustainability concerns,,vegan|vegetarian|keto|paleo|halal|kosher,Deforestation risk,B,US:approved|EU:approved|CA:approved,"Frying, texture",,2025-08-20,None
Butter,,dairy fat,Approved,Allergen,Contains milk proteins and lactose,milk,vegetarian|keto|halal|kosher,,A,US:approved|EU:approved|CA:approved,"Baking, flavor",,2025-08-20,None
Aspartame,E951,sweetener,Approved,Controversial,PKU contraindication; ongoing debate on other risks,,vegan|vegetarian|halal|kosher|keto,,B,US:approved|EU:approved|CA:approved,Diet beverages,,2025-08-20,Phenylketonuria (PKU)
Sucralose,E955,sweetener,Approved,Medium,Mixed evidence on microbiome effects,,vegan|vegetarian|halal|kosher|keto,,B,US:approved|EU:approved|CA:approved,Diet foods,,2025-08-20,None
Acesulfame potassium,acesulfame-k|E950,sweetener,Approved,Medium,High-intensity sweetener; ADI established,,vegan|vegetarian|halal|kosher|keto,,A,US:approved|EU:approved|CA:approved,Diet foods,,2025-08-20,None
Saccharin,E954,sweetener,Approved,Medium,Historical controversy; current ADIs exist,,vegan|vegetarian|halal|kosher|keto,,B,US:approved|EU:approved|CA:approved,Tabletop sweetener,,2025-08-20,None
Steviol glycosides,stevia extract|E960,sweetener,Approved,Low,Generally well tolerated,,vegan|vegetarian|halal|kosher|keto|paleo,,A,US:approved|EU:approved|CA:approved,Sweetener,,2025-08-20,None
Citric acid,E330,acidulant,Approved,Low,Generally safe; rare sensitivity,,vegan|vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,"Flavor, preservative",,2025-08-20,None
Phosphoric acid,E338,acidulant,Approved,Medium,High intake may affect mineral balance,,vegan|vegetarian|halal|kosher,,B,US:approved|EU:approved|CA:approved,Cola beverages,,2025-08-20,None
Sodium benzoate,E211,preservative,Approved,Medium,Rare sensitivity; benzene formation with ascorbic acid in certain conditions,,vegan|vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,"Beverages, sauces",,2025-08-20,"High blood pressure, Kidney disease"
Potassium sorbate,E202,preservative,Approved,Low,Generally well tolerated,,vegan|vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,"Baked goods, wine",,2025-08-20,None
Calcium propionate,E282,preservative,Approved,Low,Mold inhibitor,,vegan|vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Bread,,2025-08-20,None
Sodium nitrite,E250,curing agent,Approved,Medium,Nitrosamine concern in processed meats,,vegan|vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Cured meats,,2025-08-20,"High blood pressure, Kidney disease"
BHA,butylated hydroxyanisole|E320,antioxidant,Approved,Controversial,Debate on carcinogenicity in high doses (animal studies),,vegan|vegetarian|halal|kosher,,B,US:approved|EU:approved|CA:approved,Snack fats,,2025-08-20,None
BHT,butylated hydroxytoluene|E321,antioxidant,Approved,Controversial,Similar debate to BHA,,vegan|vegetarian|halal|kosher,,B,US:approved|EU:approved|CA:approved,Snack fats,,2025-08-20,None
TBHQ,tertiary butylhydroquinone|E319,antioxidant,Approved,Medium,ADI established; rare sensitivities,,vegan|vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,"Oils, snacks",,2025-08-20,None
Xanthan gum,,thickener,Approved,Low,Large doses may cause GI discomfort,,vegan|vegetarian|halal|kosher|gluten_free,,A,US:approved|EU:approved|CA:approved,Stabilizer,,2025-08-20,None
Carrageenan,,thickener,Approved,Controversial,Debate on GI effects; degraded form not used in food,,vegan|vegetarian|halal|kosher|gluten_free,,B,US:approved|EU:approved|CA:approved,Stabilizer,,2025-08-20,None
Pectin,,gelling agent,Approved,Low,Generally safe,,vegan|vegetarian|halal|kosher|gluten_free,,A,US:approved|EU:approved|CA:approved,"Jams, gels",,2025-08-20,None
Gelatin,hydrolyzed collagen,gelling agent,Approved,Medium,Animal-derived; dietary restrictions apply,,keto|paleo,Animal-derived,A,US:approved|EU:approved|CA:approved,"Gummies, gels",,2025-08-20,None
Titanium dioxide,E171,color,Limited,Controversial,EU restrictions for food use; inhalation hazard for powders,,vegan|vegetarian|halal|kosher,,B,US:approved|EU:restricted|CA:approved,Whitened coatings,,2025-08-20,None
Allura Red AC,E129|Red 40,color,Approved,Controversial,Hyperactivity concerns debated; EU warnings,,vegan|vegetarian|halal|kosher,,B,US:approved|EU:approved|CA:approved,Confections,,2025-08-20,None
Tartrazine,E102|Yellow 5,color,Approved,Controversial,Sensitivity in subset; EU warning labels,,vegan|vegetarian|halal|kosher,,B,US:approved|EU:approved|CA:approved,"Beverages, candies",,2025-08-20,None
Sunset Yellow FCF,E110|Yellow 6,color,Approved,Controversial,Hyperactivity concerns debated; EU warnings,,vegan|vegetarian|halal|kosher,,B,US:approved|EU:approved|CA:approved,Confections,,2025-08-20,None
Monosodium glutamate,MSG|E621,flavor enhancer,Approved,Medium,Sensitivity debated; ADIs established,,vegan|vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Flavor enhancer,,2025-08-20,"High blood pressure, Kidney disease"
Vanillin,,flavor,Approved,Low,Generally safe,,vegan|vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Flavoring,,2025-08-20,None
Diacetyl,"2,3-butanedione",flavor,Limited,Controversial,Occupational exposure risk (respiratory); food-level exposure debated,,vegan|vegetarian|halal|kosher,,B,US:approved|EU:approved|CA:approved,Butter flavor,,2025-08-20,None
Apple,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Banana,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Orange,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Lemon,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Lime,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Grapefruit,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Strawberry,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Blueberry,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Raspberry,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Blackberry,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Cherry,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Grape,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Pear,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Peach,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Apricot,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Plum,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Pineapple,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Mango,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Papaya,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Kiwi,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Watermelon,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Cantaloupe,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Honeydew,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Pomegranate,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Cranberry,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Fig,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Date,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Prune,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Coconut,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Avocado,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Passion fruit,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Guava,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Lychee,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Tangerine,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Mandarin,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Nectarine,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Pomelo,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Dragon fruit,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Starfruit,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Persimmon,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Currant,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Goji berry,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Mulberry,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Jackfruit,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Durian,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Soursop,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Plantain,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Quince,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Boysenberry,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Elderberry,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Olive,,fruit,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Tomato,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Potato,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Sweet potato,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Onion,,vegetable,Approved,Medium,May trigger GI symptoms in sensitive individuals (FODMAP),,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Garlic,,vegetable,Approved,Medium,May trigger GI symptoms in sensitive individuals (FODMAP),,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Leek,,vegetable,Approved,Medium,May trigger GI symptoms in sensitive individuals (FODMAP),,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Shallot,,vegetable,Approved,Medium,May trigger GI symptoms in sensitive individuals (FODMAP),,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Carrot,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Celery,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Bell pepper,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Chili pepper,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Cucumber,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Zucchini,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Eggplant,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Lettuce,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Spinach,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Kale,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Cabbage,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Broccoli,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Cauliflower,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Brussels sprouts,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Mushroom,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Asparagus,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Artichoke,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Beet,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Radish,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Turnip,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Parsnip,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Pumpkin,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Butternut squash,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Acorn squash,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Okra,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Green bean,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Pea,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Corn,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Bok choy,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Napa cabbage,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Arugula,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Swiss chard,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Watercress,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Seaweed,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Nori,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Kimchi,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Sauerkraut,,vegetable,Approved,Low,Generally safe whole food,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Food/ingredient,,2025-08-20,None
Black pepper,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
White pepper,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Cayenne,,herb/spice,Approved,Medium,Possible sensitivity (capsaicin),,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Paprika,,herb/spice,Approved,Medium,Possible sensitivity (capsaicin),,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Cinnamon,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Cassia,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Clove,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Nutmeg,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Mace,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Cardamom,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Ginger,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Turmeric,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Coriander,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Cilantro,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Cumin,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Fennel seed,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Anise seed,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Star anise,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Fenugreek,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Mustard seed,,herb/spice,Approved,Allergen,Common allergen,mustard,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Caraway,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Dill,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Basil,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Oregano,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Thyme,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Rosemary,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Sage,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
